NomeMun,UF,CodMun,match_var,title,uf,uf_code,uf_code_multi,rua_camara,numero_camara,cep,email,url_interlegis,url_legislativo
Apuarema,BA,2901957,Apuarema_BA,Câmara Municipal de Apuarema,BA,29,29000000,Rua Otacílio Pinheiro,,45355-000,camara.apuarema@live.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=666,
Aracatu,BA,2902005,Aracatu_BA,Câmara Municipal de Aracatu,BA,29,29000000,Rua Libério Alves Maia nº37,37,46130-000,cmavereadores@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=209,
Araças,BA,2902054,Araças_BA,Câmara Municipal de Araças,BA,29,29000000,Av. Eronildes Bonfim,130,48108-000,cma.gabinete2015@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=308,http://camara.aracas.ba.io.org.br
Araci,BA,2902104,Araci_BA,Câmara Municipal de Araci,BA,29,29000000,Rua 7 de Setembro s/n ,,48760-000,camara.araci@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=352,
Aramari,BA,2902203,Aramari_BA,Câmara Municipal de Aramari,BA,29,29000000,Praça José de Araújo Batista n°06 Centro Aramari,06,48130-000,camara-aramari@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=309,
Arataca,BA,2902252,Arataca_BA,Câmara Municipal de Arataca,BA,29,29000000,Praça Liberalino Barbosa Souto,,45695-000,camaramunicipala@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=80,
Aratuípe,BA,2902302,Aratuípe_BA,Câmara Municipal de Aratuípe,BA,29,29000000,Rua Dr. Manuel Vitorino,01,44490-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=721,
Aurelino Leal,BA,2902401,Aurelino Leal_BA,Câmara Municipal de Aurelino Leal,BA,29,29000000,Rua Presidente Médici,,45675-000,camaraaleal@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=81,
Baianópolis,BA,2902500,Baianópolis_BA,Câmara Municipal de Baianópolis,BA,29,29000000,Praça Municipal n° 41,41,47830-000,euslazia.40@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=321,
Baixa Grande,BA,2902609,Baixa Grande_BA,Câmara Municipal de Baixa Grande,BA,29,29000000,Av. 02 de julho,771,44620-000,camarabaixagrande@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=453,http://www.baixagrande.net
Baixa Grande,BA,2902609,Baixa Grande_BA,Câmara Municipal de Baixa Grande,BA,29,29000000,Av. 02 de julho,771,44620-000,camarabaixagrande@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=453%0A,http://www.baixagrande.net
Banzaê,BA,2902658,Banzaê_BA,Câmara Municipal de Banzaê,BA,29,29000000,Avenida Emancipação s/n,,48405-000,camarabanzae@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=691,
Barra,BA,2902708,Barra_BA,Câmara Municipal de Barra,BA,29,29000000,Rua dos Marianis,1836,47100-000,barracamara@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=314,http://www.barra.ba.leg.br
Barra da Estiva,BA,2902807,Barra da Estiva_BA,Câmara Municipal de Barra da Estiva,BA,29,29000000,Av. Paulo Souto,200,46950-000,cmbe2010@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=744,
Barra do Choça,BA,2902906,Barra do Choça_BA,Câmara Municipal de Barra do Choça,BA,29,29000000,Av. Getúlio Vargas,,45120-000,eriomartc@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=380,
Barra do Mendes,BA,2903003,Barra do Mendes_BA,Câmara Municipal de Barra do Mendes,BA,29,29000000,Rua Antônio Evaristo dos Santos N° 10 ,,44990-000,cmbmba@live.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=454,
Barra do Rocha,BA,2903102,Barra do Rocha_BA,Câmara Municipal de Barra do Rocha,BA,29,29000000,Rua Maria Oliveira Bitencourt,,45560-000,legislativo_barradorocha@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=82,
Barreiras,BA,2903201,Barreiras_BA,Câmara Municipal de Barreiras,BA,29,29000000,Av. Clérison Andrade,1353,47800-000,ascom@cmbarreiras.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=528,http://www.camaradebarreiras.ba.gov.br
Barro Alto,BA,2903235,Barro Alto_BA,Câmara Municipal de Barro Alto,BA,29,29000000,Rua Miguel Marques de Almeida,2,44895-000,camarabarroalto@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=455,
Barrocas,BA,2903276,Barrocas_BA,Câmara Municipal de Barrocas,BA,29,29000000,Rua José Maxminiano,180,48705-000,camaradebarrocas@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=353,
Barro Preto,BA,2903300,Barro Preto_BA,Câmara Municipal de Barro Preto,BA,29,29000000,Rua Deputado Paulo Nunes,61,45625-000,camaracmbp@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=5585,
Belmonte,BA,2903409,Belmonte_BA,Câmara Municipal de Belmonte,BA,29,29000000,Rua Coronel Jose Gomes,,45800-000,belmontecamara@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=83,
Belo Campo,BA,2903508,Belo Campo_BA,Câmara Municipal de Belo Campo,BA,29,29000000,Rua Rodolfo Lopes,345,45780-000,cm.belocampo@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=381,
Biritinga,BA,2903607,Biritinga_BA,Câmara Municipal de Biritinga,BA,29,29000000,Rua do Araci,,48780-000,camaramunicipalbiritinga@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=354,
Boa Nova,BA,2903706,Boa Nova_BA,Câmara Municipal de Boa Nova,BA,29,29000000,Praça 07 de Setembro,40,45250-000,camaraboanova@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=382,
Boa Vista do Tupim,BA,2903805,Boa Vista do Tupim_BA,Câmara Municipal de Boa Vista do Tupim,BA,29,29000000,Rua Antônio Carneiro,31,46850-000,iana.patricia@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=456,
Bom Jesus da Lapa,BA,2903904,Bom Jesus da Lapa_BA,Câmara Municipal de Bom Jesus da Lapa,BA,29,29000000,Av. Duque de Caxias nº 434,434,47600-000,cmbomjesus@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=512,
Bom Jesus da Serra,BA,2903953,Bom Jesus da Serra_BA,Câmara Municipal de Bom Jesus da Serra,BA,29,29000000,Praça Vitorino José Alves,438,45263-000,humbertobjs@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=383,
Boninal,BA,2904001,Boninal_BA,Câmara Municipal de Boninal,BA,29,29000000,Av. Brito s/ nº,,46740-000,cmboninal@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=745,
Bonito,BA,2904050,Bonito_BA,Câmara Municipal de Bonito,BA,29,29000000,Praça Benedito Mina s/n ,,46820-000,camarabonito-ba@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=746,
Boquira,BA,2904100,Boquira_BA,Câmara Municipal de Boquira,BA,29,29000000,Rua Assunção,,46530-000,caboquira@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=518,http://www.boquira.ba.leg.br
Botuporã,BA,2904209,Botuporã_BA,Câmara Municipal de Botuporã,BA,29,29000000,Praça José Marques das Neves,33,46570-000,camaradebotupora@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=519,
Brejões,BA,2904308,Brejões_BA,Câmara Municipal de Brejões,BA,29,29000000,Pça Manoel Vitorino,01,45325-000,camarabrejoes@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=667,http://www.camara.brejoes.ba.io.org.br
Brejolândia,BA,2904407,Brejolândia_BA,Câmara Municipal de Brejolândia,BA,29,29000000,Rua Central ,,47750-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=567,
Brotas de Macaúbas,BA,2904506,Brotas de Macaúbas_BA,Câmara Municipal de Brotas de Macaúbas,BA,29,29000000,Praça dos Poderes nº 95-B ,95,47560-000,camara.brotas2017@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=520,
Brumado,BA,2904605,Brumado_BA,Câmara Municipal de Brumado,BA,29,29000000,Pça Abias Azevedo,145,46100-000,ascom@cmbrumado.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=210,http://www.cmbrumado.ba.gov.br
Brumado,BA,2904605,Brumado_BA,Câmara Municipal de Brumado,BA,29,29000000,Pça Abias Azevedo,145,46100-000,ascom@cmbrumado.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=210%0A,http://www.cmbrumado.ba.gov.br
Buerarema,BA,2904704,Buerarema_BA,Câmara Municipal de Buerarema,BA,29,29000000,Av. Goes Calmon,659,45615-000,cmvbuerarema@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=84,
Buritirama,BA,2904753,Buritirama_BA,Câmara Municipal de Buritirama,BA,29,29000000,Praça 09 de Maio,,47120-000,cmburitirama@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=315,
Caatiba,BA,2904803,Caatiba_BA,Câmara Municipal de Caatiba,BA,29,29000000,Pça Cleriston Andrade,126,45130-000,camaracaatiba@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=384,
Cabaceiras do Paraguaçu,BA,2904852,Cabaceiras do Paraguaçu_BA,Câmara Municipal de Cabaceiras do Paraguaçu,BA,29,29000000,Av. Navio Negreiros,574,44345-000,camaracabaceirasparaguacu@gmail.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=722,
Cachoeira,BA,2904902,Cachoeira_BA,Câmara Municipal de Cachoeira,BA,29,29000000,Pça da Aclamação,,44300-000,camaradacachoeira@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=723,
Caculé,BA,2905008,Caculé_BA,Câmara Municipal de Caculé,BA,29,29000000,Praça Deoclides Cardoso,580,46300-000,andreiaborges4@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=185,
Caém,BA,2905107,Caém_BA,Câmara Municipal de Caém,BA,29,29000000,Praça Desembargador Souza Dias,10,44730-000,camaracaem@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=5589,http://www.camaracaem.ba.gov.br
Caetanos,BA,2905156,Caetanos_BA,Câmara Municipal de Caetanos,BA,29,29000000,Praça Mercado n 30 ,n30,45265-000,eniodias371@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=385,http://camara.caetanos.ba.io.org.br
Caetité,BA,2905206,Caetité_BA,Câmara Municipal de Caetité,BA,29,29000000,Praça Rodrigues Lima,10,46400-000,camaracaetite@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=186,
Cafarnaum,BA,2905305,Cafarnaum_BA,Câmara Municipal de Cafarnaum,BA,29,29000000,Av. Eronides Souza Santos,315,44880-018,camaradecafarnaum@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=457,http://www.cafarnaum.ba.leg.br
Cairu,BA,2905404,Cairu_BA,Câmara Municipal de Cairu,BA,29,29000000,Prç. Cel,09,45420-000,vereadorescamaracairu@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=369,
Caldeirão Grande,BA,2905503,Caldeirão Grande_BA,Câmara Municipal de Caldeirão Grande,BA,29,29000000,Rua Antônio Zabêle,,44750-000,camaracaldeirao@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=649,
Camacan,BA,2905602,Camacan_BA,Câmara Municipal de Camacan,BA,29,29000000,Av. Dr. João Ribeiro Vargens,76,45880-000,camaracamacan2011@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=85,http://www.camara.camacan.ba.io.org.br
Camaçari,BA,2905701,Camaçari_BA,Câmara Municipal de Camaçari,BA,29,29000000,Rua do Contorno Centro Cultural,,42800-907,presidencia.veroziel@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=702,http://www.cmcamacari.ba.gov.br
Camamu,BA,2905800,Camamu_BA,Câmara Municipal de Camamu,BA,29,29000000,Praça N.S. Assunção,06,45445-000,camara.camamu@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=370,
Campo Alegre de Lourdes,BA,2905909,Campo Alegre de Lourdes_BA,Câmara Municipal de Campo Alegre de Lourdes,BA,29,29000000,Rua Abílio Dias,,47220-000,camaramunicipalcal17@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=531,
Campo Formoso,BA,2906006,Campo Formoso_BA,Câmara Municipal de Campo Formoso,BA,29,29000000,Loteamento Parque Santa Luzia,22,44790-000,poderlegislativocf@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=345,http://www.camara.campoformoso.ba.io.org.br
Canápolis,BA,2906105,Canápolis_BA,Câmara Municipal de Canápolis,BA,29,29000000,Rua Luiz Viana Filho,120,44890-000,camaradecanapolis@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=712,
Canarana,BA,2906204,Canarana_BA,Câmara Municipal de Canarana,BA,29,29000000,Praça da Matriz,,44890-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=458,
Canavieiras,BA,2906303,Canavieiras_BA,Câmara Municipal de Canavieiras,BA,29,29000000,Praça da Bandeira,01,45860-000,camaracanavieiras@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=86,http://camara.canavieiras.ba.io.org.br
Candeal,BA,2906402,Candeal_BA,Câmara Municipal de Candeal,BA,29,29000000,Praça Dr. João Campos,,48710-000,camaracandeal25@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=355,http://www.candeal.ba.leg.br
Candeias,BA,2906501,Candeias_BA,Câmara Municipal de Candeias,BA,29,29000000,Avenida Celino Gomes,,43800-000,candeias492@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=703,http://www.cmcandeias.ba.gov.br
Candiba,BA,2906600,Candiba_BA,Câmara Municipal de Candiba,BA,29,29000000,Rua Dr Gercino Coelho nº 199,199,46380-000,camaracandiba@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=187,
Cândido Sales,BA,2906709,Cândido Sales_BA,Câmara Municipal de Cândido Sales,BA,29,29000000,Rua Jetúlio Vargas,101,45157-000,ivanopresidentecamara@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=386,
Cansanção,BA,2906808,Cansanção_BA,Câmara Municipal de Cansanção,BA,29,29000000,Avenida Tancredo Neves,552,78840-000,camaracansancao@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=578,
Canudos,BA,2906824,Canudos_BA,Câmara Municipal de Canudos,BA,29,29000000,Rua Getúlio Vargas,03,48520-000,cmcanudos@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=579,
Capela do Alto Alegre,BA,2906857,Capela do Alto Alegre_BA,Câmara Municipal de Capela do Alto Alegre,BA,29,29000000,Rua Lindolfo João Carneiro,221,44645-000,camaradecapela@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=356,
Capim Grosso,BA,2906873,Capim Grosso_BA,Câmara Municipal de Capim Grosso,BA,29,29000000,Av. Rui Barbosa,18,44695-000,camaravereadorescg@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=650,
Caraíbas,BA,2906899,Caraíbas_BA,Câmara Municipal de Caraíbas,BA,29,29000000,Praça Luís Eduardo Magalhães,,45177-000,camara@camaracaraibas.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=211,http://www.camaradecaraibas.com.br
Caravelas,BA,2906907,Caravelas_BA,Câmara Municipal de Caravelas,BA,29,29000000,Praça Teófilo Otoni,,45900-000,camaradevereadorescaravelas@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=549,
Cardeal da Silva,BA,2907004,Cardeal da Silva_BA,Câmara Municipal de Cardeal da Silva,BA,29,29000000,Praça Divina Pastora Quadra 8 ,300,48390-000,camaracardeal@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=574,
Carinhanha,BA,2907103,Carinhanha_BA,Câmara Municipal de Carinhanha,BA,29,29000000,Praça Deputado Henrique Brito,01,46445-000,camaracarinhanha17@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=513,http://camara.carinhanha.ba.io.org.br
Casa Nova,BA,2907202,Casa Nova_BA,Câmara Municipal de Casa Nova,BA,29,29000000,Praça Dr. Gilson Viana s/n°,,47300-000,camaracmo@oi.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=532,
Castro Alves,BA,2907301,Castro Alves_BA,Câmara Municipal de Castro Alves,BA,29,29000000,Rua Benjamin Constant,37,44500-000,camaracastroalves@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=724,http://camara.castroalves.ba.io.org.br
Catolândia,BA,2907400,Catolândia_BA,Câmara Municipal de Catolândia,BA,29,29000000,Rua Santa Helena,02,47815-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=507,
Catu,BA,2907509,Catu_BA,Câmara Municipal de Catu,BA,29,29000000,Pça. Lourenço Oliviére,,48110-000,camaracatu@gmaill.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=560,http://www.catu.ba.leg.br
Caturama,BA,2907558,Caturama_BA,Câmara Municipal de Caturama,BA,29,29000000,Rua José Ribeiro de Lula,,46575-000,camaradevereadorescaturama@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=472,http://camara.caturama.ba.io.org.br
Central,BA,2907608,Central_BA,Câmara Municipal de Central,BA,29,29000000,Praça do Mercado s/n°,,44940-000,camaramunicipaldecentral07@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=459,
Chorrochó,BA,2907707,Chorrochó_BA,Câmara Municipal de Chorrochó,BA,29,29000000,Rua Vereador Francisco Pereira,3,48660-000,cm.chorrocho@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=543,
Cícero Dantas,BA,2907806,Cícero Dantas_BA,Câmara Municipal de Cícero Dantas,BA,29,29000000,Av. Nossa Senhora do Bom Conselho,,48410-000,cm.cicerodantans@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=692,http://www.camaradecicerodantas.ba.gov.br
Cipó,BA,2907905,Cipó_BA,Câmara Municipal de Cipó,BA,29,29000000,Praça Juracy Magalhães,,48450-000,dhenis.reis@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=693,
Coaraci,BA,2908002,Coaraci_BA,Câmara Municipal de Coaraci,BA,29,29000000,Rua Ruy Barbosa,28,45638-000,camara.coaraci@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=87,http://www.portalcoaraci
Cocos,BA,2908101,Cocos_BA,Câmara Municipal de Cocos,BA,29,29000000,R. Presidente Juscelino Kubitschek ,115,47680-000,camaramunicipaldecocos@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=713,
Conceição da Feira,BA,2908200,Conceição da Feira_BA,Câmara Municipal de Conceição da Feira,BA,29,29000000,Rua Miguel Calmon,57,44320-000,adrianodopt@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=590,
Conceição do Almeida,BA,2908309,Conceição do Almeida_BA,Câmara Municipal de Conceição do Almeida,BA,29,29000000,Rua José Joaquim de Almeida,,44540-000,camara.municipal2017@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=725,http://www.camara.conceicaodoalmeida.ba.io.org.br
Conceição do Coité,BA,2908408,Conceição do Coité_BA,Câmara Municipal de Conceição do Coité,BA,29,29000000,Praça Theognes Antonio Calixto,88,48730-000,parlamentar@camaradecoite.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=357,http://www.conceicaodocoite.ba.leg.br
Conceição do Jacuípe,BA,2908507,Conceição do Jacuípe_BA,Câmara Municipal de Conceição do Jacuípe,BA,29,29000000,Rua Manoel Anacleto Ferreira da Silva,03,44245-000,cmcjacuipe@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=591,
Conde,BA,2908606,Conde_BA,Câmara Municipal de Conde,BA,29,29000000,Rua 02 de Julho,98,43000-900,camaraconde@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=575,
Condeúba,BA,2908705,Condeúba_BA,Câmara Municipal de Condeúba,BA,29,29000000,Rua Aurora s/n°,,46200-000,camaracondeuba@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=212,
Contendas do Sincorá,BA,2908804,Contendas do Sincorá_BA,Câmara Municipal de Contendas do Sincorá,BA,29,29000000,Praça Municipal nº 98 ,98,46620-000,cmcontendas@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=747,http://www.contendasdosincora.ba.gov.br
Coração de Maria,BA,2908903,Coração de Maria_BA,Câmara Municipal de Coração de Maria,BA,29,29000000,Rua das Algarobas s/n°,,44250-000,japp@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=592,http://camara.coracaodemaria.ba.io.org.br
Cordeiros,BA,2909000,Cordeiros_BA,Câmara Municipal de Cordeiros,BA,29,29000000,Prç. Luís Lago Cabral,52,46280-000,camaradevereadoresdecordeiros@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=474,
Coribe,BA,2909109,Coribe_BA,Câmara Municipal de Coribe,BA,29,29000000,Rua Santa Cruz,,47690-000,cm.coribe@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=714,
Coronel João Sá,BA,2909208,Coronel João Sá_BA,Câmara Municipal de Coronel João Sá,BA,29,29000000,Praça José Justino dos Santos,,48590-000,cmcjs@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=689,
Correntina,BA,2909307,Correntina_BA,Câmara Municipal de Correntina,BA,29,29000000,Praça Mal Deodoro Fonseca s/n°,,47650-000,camara@camaracorrentina.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=715,http://www.correntina.ba.leg.br
Cotegipe,BA,2909406,Cotegipe_BA,Câmara Municipal de Cotegipe,BA,29,29000000,Rua Barão do Rio Branco,61,47900-000,cmcotegipe@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=568,http://www.cotegipe.ba.leg.br
Cravolândia,BA,2909505,Cravolândia_BA,Câmara Municipal de Cravolândia,BA,29,29000000,Praça Lomanto Junior,38,45330-000,cam.cravo@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=668,
Crisópolis,BA,2909604,Crisópolis_BA,Câmara Municipal de Crisópolis,BA,29,29000000,Rua 12 de março,84,48480-000,cmcrisopolis@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=310,http://cmcrisopolis.ba.ipmbrasil.org.br
Cristópolis,BA,2909703,Cristópolis_BA,Câmara Municipal de Cristópolis,BA,29,29000000,Av. Major Claro,12,47950-000,camaradecristopolis@r7.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=569,
Cruz das Almas,BA,2909802,Cruz das Almas_BA,Câmara Municipal de Cruz das Almas,BA,29,29000000,Rua João Gustavo da Silva,129,44380-000,gab.renanderomualdo@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=726,
Curaçá,BA,2909901,Curaçá_BA,Câmara Municipal de Curaçá,BA,29,29000000,Avenida Ulisses Guimarães,12,48930-000,camaramunicipalcuraca@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=533,
Dário Meira,BA,2910008,Dário Meira_BA,Câmara Municipal de Dário Meira,BA,29,29000000,Rua Isaias Rêgo,15,45590-000,camaravereador.dm@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=387,http://camara.dariomeira.ba.io.org.br
Dom Basílio,BA,2910107,Dom Basílio_BA,Câmara Municipal de Dom Basílio,BA,29,29000000,Praça Almir Publio de Castro n°26,26,46165-000,cmdombasilio@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=538,http://www.camara.dombasilio.ba.io.org.br
Dom Macedo Costa,BA,2910206,Dom Macedo Costa_BA,Câmara Municipal de Dom Macedo Costa,BA,29,29000000,Avenida Pedro Vespasiano,25,44560-000,cmdomacedocosta@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=727,
Elísio Medrado,BA,2910305,Elísio Medrado_BA,Câmara Municipal de Elísio Medrado,BA,29,29000000,Praça Salvador Andrade,,45305-000,camaradevereadoresem@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=593,http://camara.elisiomedrado.ba.io.org.br
